Cpd_Id	Name	InChIKey	Smiles	DataSet	CpdClass	ECFC4	ECFP6
CHEMBL1813106	CHEMBL1813106	VKKSTFWZGBMPED-PUHATCMVSA-N	O=C(Nc1cccnc1-c1cccc(Cl)c1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1	SmoAnta	SmoAnta	0.149	0.112
CHEMBL1085503	CHEMBL1085503	TXGXKZZXXYWZPZ-UHFFFAOYSA-N	Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)cc1	SmoAnta	SmoAnta	0.139	0.102
CHEMBL1209190	CHEMBL1209190	CHFXIDUMOCYPOA-LJQANCHMSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(CC(N)=O)cc2)c2ccccc12	SmoAnta	SmoAnta	0.124	0.092
CHEMBL2043435	CHEMBL2043435	RXTFXQUMCIINQD-CRAIPNDOSA-N	CN1CC[C@@H](NC(=O)Nc2ccc(C(F)(F)F)cc2)C[C@@H]1c1nc2ccccc2[nH]1	SmoAnta	SmoAnta	0.108	0.099
CHEMBL2043430	CHEMBL2043430	GFIVAICXNHIFGK-UHFFFAOYSA-N	O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1ccc2c(c1)OCCO2	SmoAnta	SmoAnta	0.154	0.094
CHEMBL2043437	CHEMBL2043437	SFNSLLSYNZWZQG-VQIMIIECSA-N	CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1	SmoAnta	SmoAnta	0.111	0.099
CHEMBL561533	CHEMBL561533	WATNXVHKRRTUFK-UHFFFAOYSA-N	CCCC(CCC)C(=O)NCc1ccc2c(cnn2-c2ccccc2OC)c1	SmoAnta	SmoAnta	0.142	0.119
CHEMBL2059859	CHEMBL2059859	XXXYUGWOUJSRGE-UHFFFAOYSA-N	Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.12	0.088
CHEMBL2031290	CHEMBL2031290	BKTMNLKJWHVZRN-UHFFFAOYSA-N	COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccccc4)cc3)c2)cc(OC)c1OC	SmoAnta	SmoAnta	0.21	0.1
CHEMBL2059866	CHEMBL2059866	IIZZQZANQFYVIQ-UHFFFAOYSA-N	Cc1ccc(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.121	0.094
CHEMBL2160070	CHEMBL2160070	KUPFPZOAOUKIHE-BGYRXZFFSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)cccc3n2)C[C@@H](C)O1	SmoAnta	SmoAnta	0.159	0.132
